,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
77,24.67,1.7,13.75,2.28,15.67,6.18,29.5,4.92,16.0,2.12,17.25,3.34,38.0,5.2,12.0,4.42,16.0,2.45,37.5,1.5,19.0,4.58,21.25,4.92
78,24.0,2.12,13.33,3.4,14.0,7.91,30.75,3.9,12.25,3.9,20.0,1.87,34.75,1.48,20.25,3.9,16.5,3.35,33.25,2.49,21.75,1.09,17.5,2.29
79,42.67,1.7,21.67,0.94,18.0,2.55,39.75,3.27,15.0,5.61,15.5,5.02,34.0,4.58,9.5,4.82,13.25,2.95,32.5,8.44,19.0,2.45,16.75,6.57
80,32.5,6.65,18.75,3.9,16.33,3.3,34.25,4.02,21.33,2.05,14.33,5.19,34.25,12.68,12.67,4.11,11.67,6.18,32.0,7.38,16.5,4.56,18.5,5.94
81,34.5,11.32,21.0,2.12,11.25,5.12,36.75,2.49,17.33,0.94,12.33,1.25,27.0,6.04,12.0,3.56,18.0,3.56,26.25,2.86,18.0,2.55,21.25,0.43
82,39.75,5.36,15.5,2.87,14.25,1.92,34.5,1.5,16.5,3.64,19.25,3.49,31.75,4.21,17.75,3.56,15.5,6.1,30.5,9.76,17.75,2.68,18.33,3.77
83,31.0,3.0,16.5,2.96,17.5,0.5,32.75,5.36,12.75,0.83,20.0,3.67,39.0,3.08,12.25,6.61,10.0,5.34,40.25,4.44,13.5,2.69,8.75,4.82
84,33.0,6.36,11.5,2.18,12.25,2.17,41.25,0.83,17.0,3.81,20.0,3.0,35.0,1.41,17.25,1.48,13.33,5.19,36.0,3.67,16.75,1.79,14.75,2.17
85,38.75,5.63,12.25,2.28,16.75,3.49,38.67,1.7,16.0,6.4,18.0,0.82,38.25,1.48,19.25,1.3,12.0,2.55,34.75,7.6,16.5,3.35,19.0,2.92
86,35.0,4.24,14.0,5.05,18.25,4.21,39.75,2.49,13.67,3.4,13.75,3.03,35.75,6.26,15.25,2.17,14.75,4.97,35.5,4.15,12.75,1.92,21.25,5.97
87,37.75,5.36,16.0,3.56,11.67,0.47,34.0,1.41,14.67,4.92,15.0,4.3,29.25,2.49,18.25,3.19,16.0,2.92,29.0,2.74,17.75,2.77,17.0,8.09
88,36.75,6.06,12.75,3.11,17.25,3.49,27.5,2.18,16.25,1.09,22.25,2.77,30.33,2.36,18.33,3.77,19.0,4.42,39.75,4.15,20.0,2.94,14.0,3.56
89,28.0,1.87,17.75,4.71,19.25,0.83,25.0,9.62,11.25,4.32,12.75,7.4,35.75,3.9,19.25,1.3,15.5,4.33,31.0,3.67,15.75,8.84,22.25,3.34
90,36.0,4.9,16.0,2.83,17.67,4.19,41.25,3.9,15.75,4.92,11.0,4.42,35.25,2.49,15.75,1.3,14.25,8.17,41.0,4.74,13.25,5.12,20.5,3.91
91,30.0,4.55,16.25,4.76,21.0,2.12,36.25,2.17,17.75,1.09,18.75,1.3,37.0,6.12,9.33,6.02,16.75,0.83,41.33,4.78,15.25,1.92,21.33,1.25
92,36.0,0.0,10.5,5.32,14.33,4.03,38.5,4.82,18.25,2.59,13.75,3.49,32.5,7.7,17.0,4.06,15.25,6.26,34.0,2.12,16.75,5.67,17.0,1.22
93,39.0,6.6,8.25,3.77,5.75,3.27,36.75,4.92,14.33,3.86,17.5,4.61,26.0,2.74,18.25,4.02,18.25,4.21,35.8,5.78,15.33,3.09,19.8,4.26
94,31.0,2.92,9.33,4.19,14.75,4.6,31.0,1.22,15.0,2.16,21.0,2.45,36.0,7.18,11.0,6.44,15.33,2.87,34.0,3.56,13.75,7.46,16.0,3.74
95,30.5,5.02,15.75,2.86,14.0,1.22,35.0,5.35,16.75,3.27,10.67,6.94,35.25,2.59,14.75,1.64,16.5,2.69,31.0,1.41,14.75,4.02,8.5,3.5
96,40.5,2.69,14.5,3.77,15.75,3.11,36.5,2.29,13.75,6.5,17.75,5.49,35.25,4.66,21.25,2.17,17.25,1.3,37.0,1.22,17.0,2.92,16.25,1.79
97,36.0,0.0,14.33,2.62,18.0,4.53,33.0,4.9,14.33,8.06,20.0,1.22,42.5,4.5,16.5,3.84,16.75,4.92,40.33,6.6,18.67,6.85,18.25,3.63
98,35.0,5.05,17.0,2.12,15.33,3.09,35.75,7.29,15.25,5.63,15.75,3.56,31.25,3.27,15.75,1.79,18.25,0.83,32.75,6.83,15.25,3.83,15.25,3.96
99,37.5,6.87,15.75,1.48,16.5,1.5,33.5,6.87,19.75,2.38,15.25,5.31,35.5,4.15,19.5,3.35,13.0,5.87,29.5,7.53,13.0,2.55,12.5,3.28
100,24.25,7.26,15.75,5.8,13.25,5.31,24.75,5.21,15.5,2.87,16.0,1.58,39.0,4.74,23.0,2.12,19.5,3.04,38.5,4.33,12.75,2.49,19.0,2.12
101,29.25,6.06,10.67,8.06,15.25,4.02,42.0,4.3,13.25,3.63,14.25,2.49,28.5,3.2,21.75,2.49,15.0,2.83,30.5,0.87,17.25,2.49,18.5,3.04
102,40.25,3.19,15.25,1.3,17.75,2.38,37.75,1.3,15.25,1.3,17.0,3.81,37.75,4.71,19.75,2.86,16.5,8.79,36.5,2.29,15.5,5.02,15.25,2.68
103,33.75,1.3,19.5,1.5,14.5,6.26,34.25,7.26,20.0,2.12,18.75,2.86,36.25,6.38,13.75,5.45,17.5,3.77,32.5,6.42,20.75,1.3,14.5,5.12
104,37.75,1.09,17.33,0.94,16.0,2.94,35.25,6.65,15.0,6.52,14.25,6.61,33.5,5.68,14.33,1.7,19.0,0.82,27.25,2.38,16.33,3.4,11.25,3.96
105,34.5,7.23,7.67,4.03,17.0,2.12,27.0,1.87,13.0,4.08,20.33,0.94,34.75,6.38,17.0,2.92,16.75,7.01,36.25,5.63,12.0,2.12,10.33,2.36
106,27.0,2.55,14.75,1.64,15.75,1.48,34.0,5.34,15.33,5.44,14.75,5.8,38.75,6.02,17.25,3.77,13.75,5.89,36.75,4.92,15.5,4.82,10.67,3.68
107,28.67,1.25,19.33,5.91,23.0,1.41,39.25,4.71,19.0,1.41,12.67,0.94,36.0,0.0,20.0,1.41,17.67,1.25,35.0,2.12,14.0,6.36,15.25,5.36
108,40.5,4.5,17.33,3.3,16.67,2.62,29.67,2.49,21.25,3.63,19.33,2.49,36.33,7.59,13.5,2.69,15.0,4.56,34.75,7.95,17.67,0.47,19.0,5.1
109,35.25,1.3,17.25,3.27,17.67,4.03,35.4,6.15,16.75,1.3,18.8,3.43,35.25,3.77,16.25,2.59,16.25,5.12,35.5,4.97,11.75,1.79,16.0,2.74
110,35.75,3.63,9.67,5.31,15.25,3.96,34.0,1.41,14.0,2.12,14.33,4.03,31.0,1.41,18.5,2.87,24.0,2.45,28.0,3.24,15.0,0.0,21.67,5.56
111,36.75,1.3,13.75,2.05,13.0,5.79,28.5,4.5,15.75,3.27,17.0,3.67,31.25,9.07,15.75,4.44,17.75,1.79,34.5,1.5,17.0,1.73,15.0,4.74
112,31.75,2.05,15.5,4.97,16.25,4.02,39.67,3.86,15.0,9.2,14.0,5.2,37.5,1.5,19.75,2.49,15.0,2.55,36.0,0.0,18.5,4.15,15.0,2.45
113,33.5,7.02,15.5,5.22,18.25,0.83,35.75,5.36,12.0,7.18,18.25,1.3,35.75,4.26,18.25,3.27,10.5,3.2,36.0,2.45,14.75,4.55,14.67,3.4
114,40.0,1.73,18.0,4.74,15.25,2.77,32.75,2.68,19.5,5.59,16.25,2.05,41.0,1.22,10.33,5.44,14.25,4.15,37.25,7.26,14.0,1.58,13.25,4.92
115,36.75,2.59,16.33,4.64,12.0,4.08,37.25,4.26,16.25,3.63,14.5,2.6,15.5,2.69,13.0,4.06,21.67,1.7,31.5,1.66,12.5,3.2,14.25,4.44
116,39.75,5.54,13.0,2.16,9.5,2.69,24.25,3.27,12.25,1.79,13.5,5.59,36.5,4.33,15.5,3.35,18.75,2.49,27.33,1.25,11.33,0.94,20.0,4.0
117,32.33,4.99,18.5,2.87,19.0,3.74,27.25,7.98,17.75,4.44,13.0,6.52,39.67,1.7,14.67,0.47,16.75,2.95,37.8,7.68,14.2,2.48,17.25,0.83
118,28.0,1.73,15.75,3.9,16.0,3.74,41.0,4.06,16.0,3.24,15.5,5.41,30.75,6.5,11.5,2.29,13.5,1.5,33.75,1.3,15.75,5.21,16.5,2.69
119,34.0,3.74,10.33,1.7,15.25,3.56,31.5,3.2,17.75,2.68,15.5,3.04,29.25,11.26,20.0,4.9,17.75,2.68,32.67,3.09,18.67,0.47,14.0,3.16
